2025-03-21 19:41:58,963 - VoiceApp - INFO - PyAudio imported successfully
2025-03-21 19:41:59,041 - VoiceApp - INFO - Initializing Voice Cloning App
2025-03-21 19:41:59,041 - VoiceApp - INFO - Voice model initialized on cpu
2025-03-21 19:41:59,042 - VoiceApp - INFO - Audio player initialized
2025-03-21 19:41:59,064 - matplotlib.pyplot - DEBUG - Loaded backend qtagg version 5.15.6.
2025-03-21 19:41:59,078 - matplotlib.font_manager - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2025-03-21 19:41:59,078 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/darce/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-03-21 19:41:59,078 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/darce/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-21 19:41:59,079 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/darce/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-21 19:41:59,079 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/darce/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-03-21 19:41:59,079 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/darce/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Bold.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-03-21 19:41:59,079 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/darce/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-21 19:41:59,079 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/darce/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-03-21 19:41:59,079 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/darce/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-03-21 19:41:59,079 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/darce/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-21 19:41:59,079 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/darce/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-21 19:41:59,079 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/darce/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-21 19:41:59,079 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/darce/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-21 19:41:59,079 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/darce/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
2025-03-21 19:41:59,079 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/darce/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-03-21 19:41:59,080 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/darce/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-03-21 19:41:59,080 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/darce/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-03-21 19:41:59,080 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/home/darce/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
